name,type,status,ref_code,contact_name,contact_no,is_rented,rent_amount,agreement_start_date,agreement_end_date,nature_of_business,structure_type,ups_availability,backup_capacity,latitude,longitude,address
"Mumbai Central Hub",POP,Active,MUM-HUB-001,"Amit Patel",9876543210,Yes,75000,2024-01-01,2024-12-31,Data Center,Building,Yes,200,19.0176,72.8562,"Plot No. 123, Central Business District, Mumbai, Maharashtra 400001"
"Delhi Tech Center",POP,RFS,DEL-TECH-002,"Priya Sharma",9123456789,No,0,,,Network Operations,Tower,Yes,150,28.7041,77.1025,"Sector 18, Noida, Delhi NCR, Uttar Pradesh 201301"
"Bangalore IT Park",POP,Active,BLR-IT-003,"Rajesh Kumar",9988776655,Yes,60000,2024-03-01,2025-02-28,Software Services,Rooftop,No,,12.9352,77.6245,"Electronic City, Bangalore, Karnataka 560100"
"Chennai Port Access",POP,Active,CHN-PORT-004,"Lakshmi Devi",9444333222,Yes,45000,2024-02-15,2024-11-15,Logistics,Ground,Yes,100,13.0827,80.2707,"Old Mahabalipuram Road, Chennai, Tamil Nadu 600119"
"Hyderabad HITEC",POP,RFS,HYD-HI-005,"Suresh Reddy",9876512345,No,0,,,Technology Hub,Building,Yes,180,17.4485,78.3908,"HITEC City, Hyderabad, Telangana 500081"
"Pune IT Corridor",POP,Active,PUN-IT-006,"Neha Joshi",9123987654,Yes,55000,2024-01-15,2024-12-15,IT Services,Rooftop,Yes,120,18.5679,73.9143,"Hinjewadi IT Park, Pune, Maharashtra 411057"
"Kolkata Business Hub",POP,Planning,KOL-BIZ-007,"Amit Das",9876098765,No,0,,,Business Center,Tower,No,,22.5726,88.3639,"Salt Lake City, Kolkata, West Bengal 700064"
"Ahmedabad Industrial",POP,Active,AMD-IND-008,"Kiran Patel",9988123456,Yes,40000,2024-04-01,2025-03-31,Manufacturing,Ground,Yes,80,23.0225,72.5714,"GIDC Vatva, Ahmedabad, Gujarat 382445"
"Jaipur Digital Hub",POP,RFS,JPR-DIG-009,"Ravi Agarwal",9876234567,No,0,,,Digital Services,Building,Yes,90,26.9124,75.7873,"Malviya Nagar, Jaipur, Rajasthan 302017"
"Kochi Marine Drive",POP,Active,KOC-MAR-010,"Deepak Nair",9123654789,Yes,35000,2024-02-01,2024-08-01,Marine Services,Rooftop,No,,9.9312,76.2673,"Marine Drive, Kochi, Kerala 682031"
"Gurgaon Cyber Hub",SPOP,Active,GUR-CYB-S001,"Vikash Singh",9876111222,Yes,25000,2024-01-01,2024-06-30,Cyber Security,Building,Yes,50,28.4595,77.0266,"Cyber Hub, DLF Phase 3, Gurgaon, Haryana 122002"
"Noida Tech Park",SPOP,RFS,NOI-TECH-S002,"Anjali Gupta",9123333444,No,0,,,Technology Park,Tower,Yes,60,28.5355,77.3910,"Sector 62, Noida, Uttar Pradesh 201309"
"Indore IT Center",SPOP,Active,IND-IT-S003,"Manish Tiwari",9988555666,Yes,20000,2024-03-15,2024-09-15,IT Services,Rooftop,No,,22.7196,75.8577,"Vijay Nagar, Indore, Madhya Pradesh 452010"
"Chandigarh Tech Zone",SPOP,Planning,CHD-TECH-S004,"Simran Kaur",9876777888,No,0,,,Tech Development,Ground,Yes,40,30.7333,76.7794,"IT Park, Chandigarh 160101"
"Nagpur Logistics Hub",SPOP,Active,NAG-LOG-S005,"Rohit Deshmukh",9123888999,Yes,18000,2024-02-20,2024-08-20,Logistics,Building,Yes,35,21.1458,79.0882,"MIDC Hingna, Nagpur, Maharashtra 440016"
